[0.026s] Invoking command in '/home/arjun/optimus1_ws/build/amr': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/arjun/optimus1_ws/install/serial_motor_demo:/home/arjun/opt_ws/install/my_bot_controller:/home/arjun/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake /home/arjun/optimus1_ws/src/amr -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/arjun/optimus1_ws/install/amr
[0.047s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[0.194s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.203s] -- Found ament_lint_auto: 0.12.11 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.275s] -- Added test 'copyright' to check source files copyright and LICENSE
[0.279s] -- Added test 'flake8' to check Python code syntax and style conventions
[0.280s] -- Added test 'lint_cmake' to check CMake code style
[0.281s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[0.283s] -- Added test 'xmllint' to check XML markup files
[0.285s] -- Configuring done
[0.289s] -- Generating done
[0.290s] -- Build files have been written to: /home/arjun/optimus1_ws/build/amr
[0.293s] Invoked command in '/home/arjun/optimus1_ws/build/amr' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/arjun/optimus1_ws/install/serial_motor_demo:/home/arjun/opt_ws/install/my_bot_controller:/home/arjun/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake /home/arjun/optimus1_ws/src/amr -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/arjun/optimus1_ws/install/amr
[0.294s] Invoking command in '/home/arjun/optimus1_ws/build/amr': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/arjun/optimus1_ws/install/serial_motor_demo:/home/arjun/opt_ws/install/my_bot_controller:/home/arjun/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake --build /home/arjun/optimus1_ws/build/amr -- -j8 -l8
[0.332s] Invoked command in '/home/arjun/optimus1_ws/build/amr' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/arjun/optimus1_ws/install/serial_motor_demo:/home/arjun/opt_ws/install/my_bot_controller:/home/arjun/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake --build /home/arjun/optimus1_ws/build/amr -- -j8 -l8
[0.362s] Invoking command in '/home/arjun/optimus1_ws/build/amr': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/arjun/optimus1_ws/install/serial_motor_demo:/home/arjun/opt_ws/install/my_bot_controller:/home/arjun/ros2_ws/install/my_robot_controller:/opt/ros/humble /usr/bin/cmake --install /home/arjun/optimus1_ws/build/amr
[0.368s] -- Install configuration: ""
[0.368s] -- Execute custom install script
[0.369s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/drive_bot.rviz
[0.369s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/empty.yaml
[0.371s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/gaz_ros2_ctl_use_sim.yaml
[0.371s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/gazebo_params.yaml
[0.372s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/joystick.yaml
[0.372s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/main.rviz
[0.372s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/map.rviz
[0.372s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/mapper_params_online_async.yaml
[0.372s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/my_controllers.yaml
[0.372s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/nav2_params.yaml
[0.372s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/twist_mux.yaml
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//config/view_bot.rviz
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//description/gazebo_control.xacro
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//description/inertial_macros.xacro
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//description/lidar.xacro
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//description/lifting.xacro
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//description/robot.urdf.xacro
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//description/robot_core.xacro
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//description/ros2_control.xacro
[0.375s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//launch/joystick.launch.py
[0.376s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//launch/launch_robot.launch.py
[0.376s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//launch/launch_sim.launch.py
[0.376s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//launch/localization_launch.py
[0.376s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//launch/navigation_launch.py
[0.376s] -- Up-to-date symlink: /home/arjun/optimus1_ws/install/amr/share/amr//launch/online_async_launch.py
